0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:46 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:48 +0530] "GET /ShoppingCart/Login.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:51 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:51 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:51 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:51 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:51 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:53 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:54 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:57 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:57 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:57 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:57 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:57 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:31 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9279
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:31 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:31 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:33 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:33 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:33 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:33 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:33 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:37 +0530] "GET /ShoppingCart/new.jsp HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 -
